"VehicleId,TSPCode,TSPVehicleId,VIN,WeightClass"
"2479,TTC,67532,1FDXF80C9SVA35501,Truck"
"2480,TTC,67535,1FTRX12W67FA14714,Car"
"2481,TTC,67537,5TFTU46N3BX003737,NULL"
"2482,TTC,67538,1FTRF12W17NA66115,Car"
"2483,TTC,67539,5TENX22N68Z586365,Car"
"2484,TTC,67540,5TENX22N79Z627605,Car"
"2485,TTC,67543,5TENX22N89Z638869,Car"
"2486,TTC,67547,5TENX4CNOAZ678782,Car"
"2487,TTC,67556,5TDZT34A73S187399,Car"
"2488,TTC,67844,5TENX22N15Z126526,Car"
"2489,TTC,67851,1FTPW12506KE01119,Car"
"2490,TTC,67856,5TENX22NX62275244,NULL"
"2491,TTC,67857,5TFTU46N3BX003737,NULL"
"2492,TTC,67858,1FTRX17WXXKC25527,Car"
"2493,TTC,67859,1FTRX12V99KC76275,Car"
"2494,TTC,67860,JALC4B14727002559,Truck"
"2495,TTC,75591,1GBJG31R1X1086006,Car"
"2496,TTC,75599,1N6DD26S81C379479,Car"
"2497,TTC,75600,JALC4B16X67004975,Truck"
"2498,TTC,75601,JALE5B14217901110,Truck"
"2499,TTC,75602,1GBJG31R4X1050911,Car"
"2500,TTC,76768,J8DM7A1N9J3200418,Truck"
"2501,TTC,76774,1FT5534L94HB84828,NULL"
"2502,TTC,76777,JW6CCG1G3YL006457,Truck"
"2503,TTC,76785,1FTSS34L7WHB90723,Car"
"2504,TTC,76789,1FTSS34L3YHA82330,Car"
"2505,TTC,76959,1GTGG25C691103097,Car"
"2506,TTC,76990,1GBJG31U231169491,Car"
"2507,TTC,78798,377130,NULL"
"2508,TTC,78808,89942,NULL"
"2509,TTC,80297,1FTKR1AD2APA00869   ,Car"
"2510,TTC,80298,1D7HE22PX9S783426   ,Car"
"2511,TTC,80299,1D7HE22K25S353338  ,Car"
"2512,TTC,80300,1FTKR1ED9APA00877   ,Car"
"2513,TTC,67555,5TETX4CN0AZ746800,Car"
"2514,TTC,67533,746800,NULL"
"2515,TTC,67534,1HTMMAAN18H426379,Truck"
"2516,TTC,67541,1FTFS24Y5SHB38637,Car"
"2517,TTC,67548,5TENX22N18Z506129,Car"
"2518,TTC,67549,5TETU4GN3AZ720968,NULL"
"2519,TTC,67550,5TENX22N99Z611154,NULL"
"2520,TTC,67551,J8DK7A1NXL3200969,Truck"
"2521,TTC,67558,5TENX22N75Z105180,Car"
"2522,TTC,67559,1FTWX31P06EB79087,Car"
"2523,TTC,67843,4TANL42N7XZ456611,Car"
"2524,TTC,67849,JALC4B14X27002555,Truck"
"2525,TTC,67850,5TENX22N05Z060583,Car"
"2526,TTC,67852,JALC4B14917004649,Truck"
"2527,TTC,75590,JALE5B16267900807,Truck"
"2528,TTC,75595,1GBJG31R8V1080829,Car"
"2529,TTC,75596,2HGES16593H591438,Car"
"2530,TTC,75597,1N6DD26S61C346397,Car"
"2531,TTC,75598,150926,NULL"
"2532,TTC,76767,JW6CEG1D6KL000532,Truck"
"2533,TTC,76773,5145,NULL"
"2534,TTC,76783,1FTSS34L8WHB66155,Car"
"2535,TTC,76784,1HTSCAAN01H400162,Truck"
"2536,TTC,76975,1GCHG35U061162824,Car"
